0,-1,8,13
0,-1,14,18
0,-1,13,2
0,-1,13,11
0,-1,10,5
0,-1,9,14
0,-1,9,2
0,-1,10,19
0,-1,17,13
0,-1,18,18
0,-1,9,16
0,-1,16,8
0,-1,15,2
0,-1,1,19
0,-1,3,7
0,-1,3,17
0,-1,5,11
0,-1,14,10
0,-1,7,5
0,-1,18,14
0,-1,16,15
0,-1,5,13
0,-1,7,9
0,-1,18,11
0,-1,15,10
0,-1,18,3
0,-1,7,8
0,-1,19,16
0,-1,1,6
0,-1,13,16
0,-1,15,14
0,-1,4,0
0,-1,11,1
0,-1,13,6
0,-1,5,18
0,-1,6,7
0,-1,1,5
0,-1,16,2
0,-1,2,13
0,-1,16,19
0,-1,4,17
0,-1,1,13
0,-1,1,10
0,-1,18,13
0,-1,17,10
0,-1,0,4
0,-1,3,6
0,-1,9,11
0,-1,15,11
0,-1,3,5
0,-1,3,3
0,-1,0,15
0,-1,6,11
0,-1,0,11
0,-1,11,7
0,-1,14,15
0,-1,10,2
0,-1,5,14
0,-1,6,10
0,-1,2,2
0,-1,5,19
0,-1,14,5
0,-1,10,7
0,-1,0,14
0,-1,11,2
0,-1,17,16
0,-1,16,0
0,-1,10,8
0,-1,18,12
0,-1,6,12
0,-1,1,12
0,-1,17,9
0,-1,2,5
0,-1,5,2
0,-1,5,9
0,-1,19,15
0,-1,5,8
0,-1,5,15
0,-1,2,10
0,-1,2,14
0,-1,16,10
0,-1,1,3
0,-1,8,2
0,-1,19,7
0,-1,2,18
0,-1,17,15
0,-1,16,16
0,-1,15,17
0,-1,3,10
0,-1,12,5
0,-1,18,2
0,-1,2,0
0,-1,10,9
0,-1,0,13
0,-1,10,18
0,-1,14,3
0,-1,8,15
0,-1,9,8
0,-1,18,15
0,-1,11,17
1,4,19,16
1,1,6,12
2,0,6,7
3,5,5,13
10,3,5,14
14,5,9,11
14,2,14,15
17,1,14,10
18,0,10,8
19,5,7,9
22,0,10,9
25,4,11,7
28,2,6,11
28,1,13,11
32,0,10,7
35,3,9,8
37,1,9,14
38,2,6,10
39,4,7,8
45,3,8,13
47,5,15,11
47,0,10,5
50,1,9,16
51,4,5,9
52,2,8,15
58,3,5,11
58,0,12,5
61,5,15,10
65,4,5,8
70,1,11,17
73,3,7,5
73,0,13,6
80,2,13,16
80,5,14,5
89,3,3,10
89,4,10,2
92,0,9,2
94,1,5,15
100,5,3,7
102,2,10,18
109,3,2,10
110,4,11,2
119,1,8,2
119,0,16,10
119,2,10,19
121,5,3,6
132,4,11,1
133,0,15,14
133,3,1,10
140,2,5,18
146,5,3,5
151,4,16,8
153,0,17,9
166,2,15,17
167,1,1,12
170,3,2,13
173,4,16,16
173,0,17,10
181,5,5,2
192,1,18,11
195,0,17,13
197,2,4,17
198,3,14,3
201,4,3,17
211,1,13,2
216,5,2,14
223,0,15,2
238,2,2,5
245,4,16,15
245,5,1,13
247,3,18,12
249,1,4,0
257,0,17,15
276,3,14,18
284,5,0,13
289,2,1,6
298,1,16,2
335,1,1,5
339,5,0,11
343,3,18,13
346,2,3,3
363,0,18,14
375,5,5,19
381,1,0,4
389,0,17,16
391,3,0,14
395,4,19,7
409,2,2,18
413,5,1,19
420,1,18,3
441,3,0,15
498,1,1,3
524,3,18,15
545,1,16,0
570,3,2,2
594,1,2,0
596,2,19,15
631,3,18,2
691,0,16,19
743,2,18,18
